relationship_id,from_entity,to_entity,relationship_type,start_date,end_date,source,description
REL_00212,ENT_00224,OFF_00029,beneficiary_of,2018-05-15,2024-03-05,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00213,ENT_00085,OFF_00203,beneficiary_of,2018-07-05,2023-09-02,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00214,ENT_00269,OFF_00089,officer_of,2014-11-01,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00215,ENT_00357,OFF_00272,officer_of,2012-01-28,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00216,ENT_00120,OFF_00021,director_of,2018-02-26,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00217,ENT_00046,OFF_00122,shareholder_of,2015-08-22,2024-03-02,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00218,ENT_00051,OFF_00204,beneficiary_of,2021-07-14,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00219,ENT_00441,OFF_00215,beneficiary_of,2010-08-10,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00220,ENT_00318,OFF_00209,officer_of,2016-01-07,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00221,ENT_00288,OFF_00237,director_of,2011-04-30,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00222,ENT_00466,OFF_00162,director_of,2016-01-22,2022-10-01,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00223,ENT_00328,OFF_00201,director_of,2011-04-19,2023-06-17,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00224,ENT_00308,OFF_00147,director_of,2020-03-29,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00225,ENT_00240,OFF_00009,director_of,2015-02-03,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00226,ENT_00221,OFF_00116,officer_of,2014-12-08,2025-06-14,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00227,ENT_00044,OFF_00292,director_of,2022-03-26,2025-05-15,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00228,ENT_00066,OFF_00041,director_of,2019-07-07,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00229,ENT_00377,OFF_00015,shareholder_of,2014-02-26,2022-07-09,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00230,ENT_00163,OFF_00262,beneficiary_of,2016-06-06,2024-11-18,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00231,ENT_00424,OFF_00016,director_of,2020-06-14,2024-02-25,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00232,ENT_00236,OFF_00120,director_of,2015-01-13,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00233,ENT_00337,OFF_00092,director_of,2021-03-20,2024-09-25,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00234,ENT_00370,OFF_00189,beneficiary_of,2018-02-15,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00235,ENT_00158,OFF_00114,shareholder_of,2015-03-04,2025-01-10,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00236,ENT_00202,OFF_00097,shareholder_of,2011-07-22,2025-05-06,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00237,ENT_00120,OFF_00141,officer_of,2024-05-15,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00238,ENT_00383,OFF_00051,officer_of,2020-02-22,2024-09-07,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00239,ENT_00326,OFF_00146,officer_of,2015-02-26,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00240,ENT_00405,OFF_00140,director_of,2021-07-13,2024-06-10,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00241,ENT_00283,OFF_00031,shareholder_of,2014-01-25,2024-01-12,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00242,ENT_00087,OFF_00282,beneficiary_of,2019-02-28,2024-03-01,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00243,ENT_00398,OFF_00288,shareholder_of,2014-11-07,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00244,ENT_00213,OFF_00026,shareholder_of,2024-05-27,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00245,ENT_00300,OFF_00184,beneficiary_of,2014-01-26,2022-10-21,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00246,ENT_00177,OFF_00086,director_of,2023-05-05,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00247,ENT_00362,OFF_00288,shareholder_of,2019-04-26,2022-09-15,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00248,ENT_00485,OFF_00271,beneficiary_of,2020-08-14,2024-11-09,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00249,ENT_00265,OFF_00073,beneficiary_of,2011-04-20,2024-11-13,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00250,ENT_00232,OFF_00294,officer_of,2014-09-10,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00251,ENT_00440,OFF_00143,director_of,2019-09-02,2024-07-03,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00252,ENT_00341,OFF_00050,beneficiary_of,2013-10-04,2023-07-01,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00253,ENT_00129,OFF_00267,shareholder_of,2018-04-14,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00254,ENT_00327,OFF_00134,beneficiary_of,2014-07-28,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00255,ENT_00018,OFF_00129,officer_of,2022-11-19,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00256,ENT_00287,OFF_00090,shareholder_of,2011-08-07,2022-09-21,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00257,ENT_00158,OFF_00113,director_of,2011-05-15,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00258,ENT_00313,OFF_00009,beneficiary_of,2012-05-08,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00259,ENT_00201,OFF_00198,officer_of,2016-12-10,2024-04-21,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00260,ENT_00432,OFF_00106,beneficiary_of,2015-04-15,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00261,ENT_00341,OFF_00002,officer_of,2010-11-27,2024-03-10,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00262,ENT_00445,OFF_00220,shareholder_of,2023-10-07,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00263,ENT_00271,OFF_00115,director_of,2010-11-17,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00264,ENT_00144,OFF_00203,beneficiary_of,2016-02-06,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00265,ENT_00081,OFF_00161,officer_of,2023-01-08,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00266,ENT_00356,OFF_00197,beneficiary_of,2017-08-10,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00267,ENT_00405,OFF_00183,director_of,2010-09-24,2024-11-03,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00268,ENT_00472,OFF_00024,officer_of,2012-03-01,2025-03-25,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00269,ENT_00078,OFF_00015,shareholder_of,2011-04-14,2023-05-23,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00270,ENT_00330,OFF_00123,shareholder_of,2013-05-25,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00271,ENT_00327,OFF_00165,shareholder_of,2013-10-24,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00272,ENT_00394,OFF_00287,officer_of,2024-02-29,2022-12-10,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00273,ENT_00246,OFF_00108,shareholder_of,2019-08-29,2023-12-05,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00274,ENT_00036,OFF_00273,shareholder_of,2021-05-15,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00275,ENT_00096,OFF_00285,director_of,2017-11-28,2024-12-01,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00276,ENT_00110,OFF_00054,officer_of,2023-08-26,2025-01-25,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00277,ENT_00224,OFF_00060,beneficiary_of,2015-01-29,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00278,ENT_00230,OFF_00030,beneficiary_of,2011-04-30,2025-04-20,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00279,ENT_00226,OFF_00288,officer_of,2023-03-31,2024-05-24,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00280,ENT_00485,OFF_00186,beneficiary_of,2023-10-10,2023-06-08,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00281,ENT_00016,OFF_00094,shareholder_of,2013-11-20,2022-12-31,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00282,ENT_00388,OFF_00291,director_of,2013-01-26,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00283,ENT_00033,OFF_00095,director_of,2023-05-27,2022-11-03,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00284,ENT_00203,OFF_00194,shareholder_of,2023-04-18,2023-06-02,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00285,ENT_00012,OFF_00166,beneficiary_of,2019-07-20,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00286,ENT_00229,OFF_00287,director_of,2020-05-29,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00287,ENT_00430,OFF_00214,officer_of,2015-07-08,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00288,ENT_00022,OFF_00047,beneficiary_of,2019-11-26,2022-10-03,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00289,ENT_00021,OFF_00108,director_of,2013-06-30,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00290,ENT_00115,OFF_00219,beneficiary_of,2019-01-21,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00291,ENT_00045,OFF_00121,shareholder_of,2012-02-06,2024-01-28,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00292,ENT_00189,OFF_00078,officer_of,2017-09-14,2025-04-26,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00293,ENT_00387,OFF_00295,officer_of,2018-10-29,2025-01-22,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00294,ENT_00492,OFF_00206,officer_of,2019-04-07,2024-05-26,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00295,ENT_00266,OFF_00191,director_of,2021-10-08,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00296,ENT_00090,OFF_00236,shareholder_of,2018-04-10,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00297,ENT_00004,OFF_00124,director_of,2014-09-29,2024-02-21,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00298,ENT_00245,OFF_00161,officer_of,2014-02-12,2022-09-21,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00299,ENT_00365,OFF_00115,director_of,2014-10-23,2024-03-29,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00300,ENT_00381,OFF_00077,beneficiary_of,2021-11-25,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00301,ENT_00307,OFF_00022,director_of,2015-01-27,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00302,ENT_00046,OFF_00070,beneficiary_of,2022-02-07,2023-01-02,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00303,ENT_00478,OFF_00148,director_of,2016-04-09,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00304,ENT_00031,OFF_00084,beneficiary_of,2019-02-06,2025-05-16,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00305,ENT_00405,OFF_00059,shareholder_of,2024-01-12,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00306,ENT_00422,OFF_00112,beneficiary_of,2021-06-30,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00307,ENT_00446,OFF_00212,director_of,2022-12-03,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00308,ENT_00301,OFF_00130,shareholder_of,2022-06-29,2024-12-31,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00309,ENT_00223,OFF_00071,beneficiary_of,2017-08-14,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00310,ENT_00086,OFF_00284,director_of,2011-12-04,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00311,ENT_00466,OFF_00270,shareholder_of,2021-01-21,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00312,ENT_00314,OFF_00001,shareholder_of,2016-07-17,2024-07-10,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00313,ENT_00399,OFF_00054,shareholder_of,2011-04-21,2022-07-05,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00314,ENT_00173,OFF_00194,shareholder_of,2022-11-03,2025-01-19,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00315,ENT_00227,OFF_00264,officer_of,2016-12-09,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00316,ENT_00276,OFF_00117,director_of,2017-02-24,2023-02-19,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00317,ENT_00325,OFF_00144,beneficiary_of,2024-06-09,2022-11-15,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00318,ENT_00456,OFF_00101,director_of,2015-06-07,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00319,ENT_00480,OFF_00189,beneficiary_of,2020-09-07,2023-08-30,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00320,ENT_00289,OFF_00126,director_of,2020-11-12,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00321,ENT_00127,OFF_00154,officer_of,2018-12-17,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00322,ENT_00459,OFF_00038,beneficiary_of,2014-04-02,2023-06-26,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00323,ENT_00435,OFF_00000,shareholder_of,2014-06-08,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00324,ENT_00287,OFF_00067,officer_of,2020-06-21,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00325,ENT_00246,OFF_00237,director_of,2020-12-22,2024-06-04,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00326,ENT_00070,OFF_00232,officer_of,2015-03-10,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00327,ENT_00319,OFF_00129,shareholder_of,2018-06-19,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00328,ENT_00006,OFF_00245,shareholder_of,2012-05-14,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00329,ENT_00272,OFF_00243,officer_of,2019-07-30,2024-08-06,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00330,ENT_00457,OFF_00270,beneficiary_of,2013-05-25,2022-12-10,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00331,ENT_00010,OFF_00238,shareholder_of,2019-05-01,2022-08-29,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00332,ENT_00220,OFF_00248,beneficiary_of,2017-02-23,2023-05-26,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00333,ENT_00024,OFF_00077,director_of,2017-10-12,2023-01-08,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00334,ENT_00470,OFF_00108,officer_of,2016-03-04,2023-04-23,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00335,ENT_00373,OFF_00109,beneficiary_of,2017-01-20,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00336,ENT_00417,OFF_00210,beneficiary_of,2017-12-04,2025-01-31,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00337,ENT_00366,OFF_00142,officer_of,2020-03-25,2023-01-25,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00338,ENT_00261,OFF_00205,beneficiary_of,2017-11-17,2022-11-14,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00339,ENT_00303,OFF_00229,shareholder_of,2017-04-03,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00340,ENT_00464,OFF_00080,beneficiary_of,2022-02-25,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00341,ENT_00435,OFF_00087,shareholder_of,2017-11-05,2023-07-02,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00342,ENT_00128,OFF_00221,officer_of,2022-05-31,2022-12-25,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00343,ENT_00224,OFF_00163,officer_of,2022-08-09,2024-10-28,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00344,ENT_00368,OFF_00143,shareholder_of,2023-12-04,2024-02-12,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00345,ENT_00420,OFF_00143,shareholder_of,2024-05-12,2024-03-27,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00346,ENT_00113,OFF_00292,shareholder_of,2014-10-24,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00347,ENT_00008,OFF_00015,shareholder_of,2016-09-16,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00348,ENT_00452,OFF_00201,beneficiary_of,2013-10-17,2022-11-22,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00349,ENT_00462,OFF_00031,shareholder_of,2015-02-03,2025-01-22,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00350,ENT_00482,OFF_00258,shareholder_of,2023-07-05,2025-06-01,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00351,ENT_00140,OFF_00068,shareholder_of,2016-02-04,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00352,ENT_00303,OFF_00270,officer_of,2021-10-01,2025-02-27,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00353,ENT_00204,OFF_00038,shareholder_of,2015-09-23,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00354,ENT_00437,OFF_00202,director_of,2015-11-19,2024-07-16,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00355,ENT_00096,OFF_00288,officer_of,2015-08-31,2022-10-31,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00356,ENT_00154,OFF_00197,beneficiary_of,2018-09-17,2023-09-10,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00357,ENT_00359,OFF_00088,director_of,2014-12-19,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00358,ENT_00008,OFF_00163,shareholder_of,2014-04-19,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00359,ENT_00497,OFF_00175,shareholder_of,2024-04-03,2022-08-23,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00360,ENT_00389,OFF_00190,beneficiary_of,2017-04-23,2025-02-28,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00361,ENT_00194,OFF_00002,officer_of,2014-03-07,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00362,ENT_00359,OFF_00036,beneficiary_of,2011-05-12,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00363,ENT_00365,OFF_00000,shareholder_of,2018-03-24,2023-04-06,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00364,ENT_00387,OFF_00110,officer_of,2020-03-26,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00365,ENT_00147,OFF_00019,shareholder_of,2022-06-20,2023-09-11,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00366,ENT_00492,OFF_00009,officer_of,2015-08-21,2024-06-13,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00367,ENT_00255,OFF_00061,beneficiary_of,2022-12-20,2023-07-08,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00368,ENT_00129,OFF_00181,officer_of,2019-08-24,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00369,ENT_00046,OFF_00155,director_of,2023-06-17,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00370,ENT_00152,OFF_00269,director_of,2019-06-18,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00371,ENT_00473,OFF_00089,director_of,2022-04-17,2022-09-21,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00372,ENT_00329,OFF_00133,beneficiary_of,2021-05-29,2024-04-28,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00373,ENT_00336,OFF_00113,officer_of,2013-04-13,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00374,ENT_00465,OFF_00122,beneficiary_of,2017-05-31,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00375,ENT_00001,OFF_00016,officer_of,2019-07-09,2023-01-15,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00376,ENT_00194,OFF_00291,beneficiary_of,2020-03-02,2024-02-15,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00377,ENT_00311,OFF_00230,shareholder_of,2020-07-05,2023-11-29,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00378,ENT_00429,OFF_00214,director_of,2019-12-07,2023-01-31,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00379,ENT_00077,OFF_00219,director_of,2016-08-08,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00380,ENT_00378,OFF_00234,shareholder_of,2022-02-19,2022-12-05,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00381,ENT_00134,OFF_00115,shareholder_of,2013-09-26,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00382,ENT_00423,OFF_00277,director_of,2010-10-03,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00383,ENT_00352,OFF_00280,shareholder_of,2023-07-27,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00384,ENT_00436,OFF_00013,director_of,2023-07-23,2022-11-03,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00385,ENT_00128,OFF_00018,beneficiary_of,2023-09-16,2024-08-28,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00386,ENT_00244,OFF_00258,director_of,2015-04-05,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00387,ENT_00207,OFF_00062,director_of,2018-02-02,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00388,ENT_00442,OFF_00181,officer_of,2023-01-28,2024-12-09,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00389,ENT_00374,OFF_00268,officer_of,2016-02-02,2023-07-15,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00390,ENT_00395,OFF_00098,shareholder_of,2016-12-25,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00391,ENT_00490,OFF_00245,shareholder_of,2016-12-11,2024-04-21,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00392,ENT_00004,OFF_00159,officer_of,2011-04-11,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00393,ENT_00273,OFF_00080,director_of,2014-06-19,2023-03-13,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00394,ENT_00235,OFF_00240,director_of,2012-10-29,2025-01-21,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00395,ENT_00154,OFF_00111,officer_of,2012-05-10,2024-11-18,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00396,ENT_00168,OFF_00058,director_of,2017-05-06,2024-02-08,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00397,ENT_00396,OFF_00026,officer_of,2013-08-19,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00398,ENT_00365,OFF_00124,officer_of,2019-12-05,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00399,ENT_00048,OFF_00262,beneficiary_of,2018-11-14,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00400,ENT_00219,OFF_00012,officer_of,2015-08-26,2023-04-16,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00401,ENT_00068,OFF_00270,shareholder_of,2021-02-24,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00402,ENT_00266,OFF_00035,beneficiary_of,2022-10-10,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00403,ENT_00423,OFF_00005,officer_of,2013-03-06,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00404,ENT_00132,OFF_00172,director_of,2011-10-27,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00405,ENT_00115,OFF_00075,beneficiary_of,2014-12-20,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00406,ENT_00291,OFF_00161,director_of,2022-03-19,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00407,ENT_00132,OFF_00265,director_of,2014-05-24,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00408,ENT_00385,OFF_00192,director_of,2010-08-25,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00409,ENT_00308,OFF_00191,beneficiary_of,2016-10-26,2024-11-05,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00410,ENT_00400,OFF_00186,beneficiary_of,2020-12-13,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00411,ENT_00065,OFF_00162,shareholder_of,2021-11-09,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00412,ENT_00194,OFF_00092,beneficiary_of,2017-04-15,2024-12-27,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00413,ENT_00450,OFF_00267,director_of,2012-06-28,2022-08-28,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00414,ENT_00411,OFF_00011,shareholder_of,2014-07-07,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00415,ENT_00447,OFF_00194,officer_of,2024-03-03,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00416,ENT_00326,OFF_00272,shareholder_of,2012-02-26,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00417,ENT_00141,OFF_00274,director_of,2019-06-06,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00418,ENT_00385,OFF_00140,shareholder_of,2017-09-05,2024-11-10,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00419,ENT_00279,OFF_00054,director_of,2014-05-26,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00420,ENT_00088,OFF_00289,beneficiary_of,2016-11-10,2022-10-31,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00421,ENT_00032,OFF_00216,director_of,2019-11-13,2025-01-09,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00422,ENT_00058,OFF_00176,beneficiary_of,2017-02-23,2023-03-10,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00423,ENT_00429,OFF_00156,beneficiary_of,2016-02-10,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
